;	Shine DropItem from Mob																					;
#IGNORE	\o042			;인용부호무시																		;
#EXCHANGE	#	\x20		;#=>space																		;
;	기획용	2005.02.27																				;
;																						;
#TABLE	ItemDropGroup																					;
#COLUMNTYPE	Index	String[40]	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	Word	DWORD	;
#COLUMNNAME	ItemGroupIdx	ItemID	MinQtty	MaxQtty	Upgrade00	Upgrade01	Upgrade02	Upgrade03	Upgrade04	Upgrade05	Upgrade06	Upgrade07	Upgrade08	Upgrade09	Upgrade10	Upgrade11	Upgrade12	Upgrade13	Upgrade14	Upgrade15	CheckSum	;
;																						;
																						;
#RECORD	Shoes1	Shoes1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Hat1	Hat1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Leg1	Leg1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Body1	Body1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Weapon1	Weapon1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Shield1	Shield1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOp1Weapon1	NamedOp1Weapon1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOp2Weapon1	NamedOp2Weapon1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOp3Weapon1	NamedOp3Weapon1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOP3Shield1	NamedOP3Shield1	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
																						
#RECORD	Shoes2	Shoes2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Hat2	Hat2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Leg2	Leg2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Body2	Body2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Weapon2	Weapon2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	Shield2	Shield2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOp1Weapon2	NamedOp1Weapon2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOp2Weapon2	NamedOp2Weapon2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOp3Weapon2	NamedOp3Weapon2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOP3Armor2	NamedOP3Armor2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOP3Pants2	NamedOP3Pants2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOP3Hat2	NamedOP3Hat2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOP3Boots2	NamedOP3Boots2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
#RECORD	NamedOP3Shield2	NamedOP3Shield2	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
																						
#RECORD	Shoes3	Shoes3	1	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1002	;
