;		Common Class Paramter																														
#ignore	\o042																															
#exchange	#	\x20																														
;	2005.09.04																															
#table	Common																															
#columntype	index	dwrd																														
#columnname	key	argument																														
#record	RunSpeed	127 																														
#record	WalkSpeed	33 																														
#record	AttackSpeed	13 																														
#record	ShoutLevel	5 	; 	"미국의 경우는 5, 그외는 0"																												
#record	ShoutDelay	2 	; 	외치기 딜레이																												
#record	LevelLimit	125 	;	각 나라에 맞추어																												
#record	MaxExpBonus	3000 																														
;	휴식 경험치 시스템																															
#record	RestExpRate	1100 	;	적용하는 휴식 경험치의 적용비율(1/1000)																												
#record	MinNeedTime	21600 	;	휴식 경험치를 받기 위한 최소 접속 간격 시간(sec)																												
#record	DefaultBonusTime	600 	;	휴식 경험치 적용의 디폴트 시간(sec)																												
#record	IntervalTime	3600 	;	버프가 주어질 수 있는 간격의 최소 간격 시간(sec)																												
#record	AddBuffTime	600 	;	추가로 지급되는 버프의 단위 시간(sec)																												
#record	MaxBuffTime	7200 	;	주어질 수 있는 버프의 최대 적용 시간(sec)																												
#record	LostExpLevel	21 	;	경험치 다운되는 최소 레벨(이 값보다 작으면 경험치 누락없음)																												
#record	MaxFreeStat	180 	;	자유스탯테이블의 값																												
;																																
;																																
#table	StatTable																															
#columntype	byte	string[50]	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	WORD	DWORD	byte
#columnname	level	NextExp	 dummy	Fig	Cfig	War	Gla	Kni	Cle	Hcle	Pal	Hol	Gua	Arc	Harc	Sco	Sha	Ran	Mag	Wmag	Enc	Warl	Wiz	Jok	Chs	Cru	Cls	Ass	Sen	Sav	ExpLostAtPvP	CheckSum
#record	1 	10	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0	1 
#record	2 	40	0 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0	2 
#record	3 	100	0 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0	3 
#record	4 	200	0 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0	4 
#record	5 	350	0 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	0	5 
#record	6 	560	0 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 	0	6 
